time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-13T23:54:45.360Z,7.446,-80.5658,10,5.3,mww,,69,1.855,1.27,us,us1000er1r,2018-06-14T01:15:20.559Z,"13km WNW of Tonosi, Panama",earthquake,6,1.3,0.073,18,reviewed,us,us
2018-06-13T23:06:12.210Z,-1.7738,98.6187,10,4.9,mb,,119,3.195,0.82,us,us1000er0y,2018-06-13T23:24:22.040Z,"68km WSW of Muara Siberut, Indonesia",earthquake,9.3,1.9,0.072,60,reviewed,us,us
2018-06-13T22:14:32.900Z,35.6103,140.1426,76.27,4.6,mb,,141,1.826,1,us,us1000er1c,2018-06-14T01:07:12.340Z,"1km ENE of Chiba-shi, Japan",earthquake,4.9,8.3,0.119,21,reviewed,us,us
2018-06-13T21:38:15.990Z,54.9337,167.9035,10,4.8,mb,,98,5.786,0.79,us,us1000eqha,2018-06-13T22:39:13.040Z,"125km ESE of Nikol'skoye, Russia",earthquake,5.2,1.7,0.042,178,reviewed,us,us
2018-06-13T16:47:26.530Z,31.5585,57.6576,10,4.6,mb,,73,4.775,1.12,us,us1000eq1h,2018-06-13T18:53:36.040Z,"87km ENE of Ravar, Iran",earthquake,8.4,1.9,0.06,83,reviewed,us,us
2018-06-13T14:59:09.570Z,6.4995,126.2191,143.42,4.9,mb,,49,0.851,1,us,us1000epz2,2018-06-14T00:13:13.313Z,"10km ENE of Nangan, Philippines",earthquake,6.6,5.7,0.045,154,reviewed,us,us
2018-06-13T13:39:37.610Z,19.4138333,-155.2813333,0.26,5.3,mw,38,41,0.004616,0.12,hv,hv70260941,2018-06-14T00:46:55.766Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.09,,15,reviewed,hv,hv
2018-06-13T10:33:11.610Z,-18.9,169.4258,239.68,5.1,mww,,46,2.778,0.7,us,us1000epts,2018-06-13T10:52:12.040Z,"73km NNE of Isangel, Vanuatu",earthquake,9.4,6.7,0.078,16,reviewed,us,us
2018-06-13T06:59:01.460Z,-1.9145,98.6568,10,5.4,mww,,48,3.26,0.93,us,us1000epp2,2018-06-13T19:00:40.040Z,"70km WSW of Muara Siberut, Indonesia",earthquake,3.4,1.8,0.078,16,reviewed,us,us
2018-06-13T03:44:53.590Z,30.0618,140.9809,96.7,4.7,mb,,114,3.139,1.11,us,us1000epke,2018-06-13T04:04:17.040Z,"Izu Islands, Japan region",earthquake,8.4,7,0.046,145,reviewed,us,us
2018-06-13T02:16:15.610Z,21.2449,121.0598,36.47,4.5,mb,,98,1.565,0.71,us,us1000epik,2018-06-13T02:54:34.040Z,"90km SSE of Hengchun, Taiwan",earthquake,8.6,2.3,0.053,106,reviewed,us,us
2018-06-13T02:07:57.730Z,-1.8777,98.674,10,5.2,mww,,45,3.222,0.82,us,us1000epie,2018-06-13T02:28:41.040Z,"67km WSW of Muara Siberut, Indonesia",earthquake,7.5,1.8,0.078,16,reviewed,us,us
2018-06-12T23:46:12.160Z,-1.9466,98.6759,11.83,5.1,mww,,58,3.268,0.89,us,us1000epg0,2018-06-13T00:02:41.040Z,"70km WSW of Muara Siberut, Indonesia",earthquake,8,4.3,0.073,18,reviewed,us,us
2018-06-12T23:45:55.880Z,50.607,156.3437,95.27,5.1,mb,,92,2.642,0.93,us,us1000epg1,2018-06-13T00:03:53.040Z,"17km ESE of Severo-Kuril'sk, Russia",earthquake,8.7,6.7,0.026,501,reviewed,us,us
2018-06-12T23:32:45.210Z,-20.4451,169.1822,51.02,5.4,mww,,88,1.848,1.29,us,us1000epfw,2018-06-13T19:08:16.040Z,"99km S of Isangel, Vanuatu",earthquake,8,6.5,0.069,20,reviewed,us,us
2018-06-12T23:08:28.150Z,-2.0999,98.5204,10,5.8,mww,,58,3.485,0.96,us,us1000epfe,2018-06-13T18:52:23.040Z,"94km SW of Muara Siberut, Indonesia",earthquake,7.9,1.8,0.071,19,reviewed,us,us
2018-06-12T22:23:26.020Z,-20.7675,-69.1714,103.87,4.7,mwr,,39,0.403,1.25,us,us1000epeb,2018-06-12T23:27:55.167Z,"118km ESE of Iquique, Chile",earthquake,5.7,4.9,0.052,35,reviewed,us,us
2018-06-12T17:17:16.450Z,-13.0531,45.8597,10,5.3,mww,,46,6.075,0.73,us,us1000ep8h,2018-06-13T14:29:08.233Z,"68km ESE of Pamandzi, Mayotte",earthquake,8.6,1.7,0.071,19,reviewed,us,us
2018-06-12T15:57:22.330Z,12.3582,-94.0548,10,4.6,mb,,220,3.147,0.83,us,us1000ep7p,2018-06-12T16:30:26.040Z,"Off the coast of Chiapas, Mexico",earthquake,8.2,2,0.207,7,reviewed,us,us
2018-06-12T15:04:58.320Z,-8.4112,-74.3591,164.07,4.5,mb,,110,1.772,0.54,us,us1000ep5z,2018-06-12T15:56:59.040Z,"21km E of Pucallpa, Peru",earthquake,8.1,7,0.068,64,reviewed,us,us
2018-06-12T12:37:57.610Z,42.5395,145.2802,49.4,4.5,mb,,141,1.66,0.91,us,us1000ep50,2018-06-12T13:23:51.040Z,"88km ESE of Kushiro, Japan",earthquake,8.1,4.4,0.061,80,reviewed,us,us
2018-06-12T11:52:51.250Z,19.4103333,-155.2821667,0.75,5.3,mw,38,27,0.007515,0.11,hv,hv70256021,2018-06-13T06:09:19.296Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.15,0.1,,9,reviewed,hv,hv
2018-06-12T09:35:26.370Z,1.0317,-77.2585,10,4.9,mwr,,43,0.614,1.45,us,us1000ep1l,2018-06-13T02:00:32.118Z,"16km ESE of Tangua, Colombia",earthquake,4.5,1.9,0.098,10,reviewed,us,us
2018-06-12T06:20:49.190Z,-5.5932,150.2694,120.62,5.3,mww,,62,2.345,1.22,us,us1000enxj,2018-06-13T00:25:22.356Z,"14km ESE of Kimbe, Papua New Guinea",earthquake,8.4,6.5,0.056,31,reviewed,us,us
